Fecha,sst_nino12_proxy
2013-01-01,23.663086
2013-01-02,23.747772
2013-01-03,23.999786
2013-01-04,23.946686
2013-01-05,23.757507
2013-01-06,23.87091
2013-01-07,24.344086
2013-01-08,24.515778
2013-01-09,24.527252
2013-01-10,24.554077
2013-01-11,24.662903
2013-01-12,24.632141
2013-01-13,24.648346
2013-01-14,24.8479
2013-01-15,24.499908
2013-01-16,24.351227
2013-01-17,24.522552
2013-01-18,24.732483
2013-01-19,24.652527
2013-01-20,24.513092
2013-01-21,24.59903
2013-01-22,24.85675
2013-01-23,24.851166
2013-01-24,24.82071
2013-01-25,24.86969
2013-01-26,24.931732
2013-01-27,24.98111
2013-01-28,24.951294
2013-01-29,24.986877
2013-01-30,24.99582
2013-01-31,24.991547
2013-02-01,24.958862
2013-02-02,24.721436
2013-02-03,24.587372
2013-02-04,24.668365
2013-02-05,24.74878
2013-02-06,25.362122
2013-02-07,25.533173
2013-02-08,25.509613
2013-02-09,25.646912
2013-02-10,25.623749
2013-02-11,25.757538
2013-02-12,25.693176
2013-02-13,25.691559
2013-02-14,25.674744
2013-02-15,25.689209
2013-02-16,25.603668
2013-02-17,25.303192
2013-02-18,24.863983
2013-02-19,24.746216
2013-02-20,24.472992
2013-02-21,24.225494
2013-02-22,24.28366
2013-02-23,24.547272
2013-02-24,24.842499
2013-02-25,24.991364
2013-02-26,25.159973
2013-02-27,25.331207
2013-02-28,25.56549
2013-03-01,25.987915
2013-03-02,26.13208
2013-03-03,26.115143
2013-03-04,25.976349
2013-03-05,25.98465
2013-03-06,26.155304
2013-03-07,26.46698
2013-03-08,26.385437
2013-03-09,26.2128
2013-03-10,26.164825
2013-03-11,26.235474
2013-03-12,26.495087
2013-03-13,26.482574
2013-03-14,26.522278
2013-03-15,26.31363
2013-03-16,26.09491
2013-03-17,25.961517
2013-03-18,25.960022
2013-03-19,25.871002
2013-03-20,25.566864
2013-03-21,25.316956
2013-03-22,25.21936
2013-03-23,24.876709
2013-03-24,24.525635
2013-03-25,24.496735
2013-03-26,24.225128
2013-03-27,23.778748
2013-03-28,23.654816
2013-03-29,23.415619
2013-03-30,23.37323
2013-03-31,23.111786
2013-04-01,22.884583
2013-04-02,22.545624
2013-04-03,22.55185
2013-04-04,22.672394
2013-04-05,22.860016
2013-04-06,22.950256
2013-04-07,22.874786
2013-04-08,23.06247
2013-04-09,23.20462
2013-04-10,23.468292
2013-04-11,23.601318
2013-04-12,23.470673
2013-04-13,23.457245
2013-04-14,23.52353
2013-04-15,23.7966
2013-04-16,23.87143
2013-04-17,23.73819
2013-04-18,23.726593
2013-04-19,23.887512
2013-04-20,24.043518
2013-04-21,23.947266
2013-04-22,23.703278
2013-04-23,23.499542
2013-04-24,23.470276
2013-04-25,23.577179
2013-04-26,23.405792
2013-04-27,23.358917
2013-04-28,23.425873
2013-04-29,23.26294
2013-04-30,23.10141
2013-05-01,22.878693
2013-05-02,22.763245
2013-05-03,22.854004
2013-05-04,22.732239
2013-05-05,22.435791
2013-05-06,22.31903
2013-05-07,22.291779
2013-05-08,22.270294
2013-05-09,22.403168
2013-05-10,22.707062
2013-05-11,22.538055
2013-05-12,22.534271
2013-05-13,22.417816
2013-05-14,22.087158
2013-05-15,22.181519
2013-05-16,22.242493
2013-05-17,22.289795
2013-05-18,22.220184
2013-05-19,22.061066
2013-05-20,21.807037
2013-05-21,21.364258
2013-05-22,21.126007
2013-05-23,20.930511
2013-05-24,21.000671
2013-05-25,20.978668
2013-05-26,21.135529
2013-05-27,21.248383
2013-05-28,21.473236
2013-05-29,21.743073
2013-05-30,22.089905
2013-05-31,22.320312
2013-06-01,22.485718
2013-06-02,22.440887
2013-06-03,22.388275
2013-06-04,22.252167
2013-06-05,22.348541
2013-06-06,22.503448
2013-06-07,22.666138
2013-06-08,22.64328
2013-06-09,22.5708
2013-06-10,22.492432
2013-06-11,22.547882
2013-06-12,22.61026
2013-06-13,22.203125
2013-06-14,21.938568
2013-06-15,22.076935
2013-06-16,21.978973
2013-06-17,21.950409
2013-06-18,21.804901
2013-06-19,21.443573
2013-06-20,21.065216
2013-06-21,20.898712
2013-06-22,20.832123
2013-06-23,20.64206
2013-06-24,20.16397
2013-06-25,20.244202
2013-06-26,20.379303
2013-06-27,20.451508
2013-06-28,20.189667
2013-06-29,20.34616
2013-06-30,20.467987
2013-07-01,20.644867
2013-07-02,20.785553
2013-07-03,20.800018
2013-07-04,21.126587
2013-07-05,21.331543
2013-07-06,21.698792
2013-07-07,21.740265
2013-07-08,21.600433
2013-07-09,21.585327
2013-07-10,21.47168
2013-07-11,21.054138
2013-07-12,20.633392
2013-07-13,20.679901
2013-07-14,20.495697
2013-07-15,20.192719
2013-07-16,20.301178
2013-07-17,20.552307
2013-07-18,20.323273
2013-07-19,20.241486
2013-07-20,20.427643
2013-07-21,20.915436
2013-07-22,20.967743
2013-07-23,20.961823
2013-07-24,20.842743
2013-07-25,20.491241
2013-07-26,20.406036
2013-07-27,20.32486
2013-07-28,19.992218
2013-07-29,20.221252
2013-07-30,20.326263
2013-07-31,20.114899
2013-08-01,19.987518
2013-08-02,20.141052
2013-08-03,20.127106
2013-08-04,20.243134
2013-08-05,20.48819
2013-08-06,20.339233
2013-08-07,20.375977
2013-08-08,20.524017
2013-08-09,20.463745
2013-08-10,20.411652
2013-08-11,20.312225
2013-08-12,20.15155
2013-08-13,20.122284
2013-08-14,20.180817
2013-08-15,20.186829
2013-08-16,19.999847
2013-08-17,20.087372
2013-08-18,20.298187
2013-08-19,20.55716
2013-08-20,20.703613
2013-08-21,20.52884
2013-08-22,20.503082
2013-08-23,20.393402
2013-08-24,20.075897
2013-08-25,19.559387
2013-08-26,19.357422
2013-08-27,19.221344
2013-08-28,19.055908
2013-08-29,19.103607
2013-08-30,19.209839
2013-08-31,19.575195
2013-09-01,19.894989
2013-09-02,20.20697
2013-09-03,20.593323
2013-09-04,21.179016
2013-09-05,21.213135
2013-09-06,21.082153
2013-09-07,20.703033
2013-09-08,20.464203
2013-09-09,20.163391
2013-09-10,20.087036
2013-09-11,19.809204
2013-09-12,19.728088
2013-09-13,19.61493
2013-09-14,19.803802
2013-09-15,19.943207
2013-09-16,19.98285
2013-09-17,20.051178
2013-09-18,20.216919
2013-09-19,20.477814
2013-09-20,20.479156
2013-09-21,20.375061
2013-09-22,20.268799
2013-09-23,20.126892
2013-09-24,20.077667
2013-09-25,20.247833
2013-09-26,20.547363
2013-09-27,20.479462
2013-09-28,20.43515
2013-09-29,20.44046
2013-09-30,20.3255
2013-10-01,20.447723
2013-10-02,20.460938
2013-10-03,20.290009
2013-10-04,20.632416
2013-10-05,20.89151
2013-10-06,20.807068
2013-10-07,20.880463
2013-10-08,20.905762
2013-10-09,20.812164
2013-10-10,20.68988
2013-10-11,20.492432
2013-10-12,20.4328
2013-10-13,20.387146
2013-10-14,20.391724
2013-10-15,20.312134
2013-10-16,20.288635
2013-10-17,20.43805
2013-10-18,20.467133
2013-10-19,20.540955
2013-10-20,20.78836
2013-10-21,20.996918
2013-10-22,21.38028
2013-10-23,21.650055
2013-10-24,21.543457
2013-10-25,21.39087
2013-10-26,21.06717
2013-10-27,21.188507
